,0
2012-07-01,89.79771338391102
2012-07-08,92.57559183848565
2012-07-15,87.53129553234635
2012-07-22,90.00078916852213
2012-07-29,92.3342020206951
2012-08-05,89.30579679588553
2012-08-12,90.80421753655956
2012-08-19,86.89625323404384
2012-08-26,85.4421344530714
2012-09-02,85.1629318640438
2012-09-09,81.55944556809294
2012-09-16,76.50236258550412
2012-09-23,77.53779229060045
2012-09-30,73.73123614891323
2012-10-07,73.8485371792257
2012-10-14,69.51224610695223
2012-10-21,62.02998299885381
2012-10-28,61.14703146619445
2012-11-04,61.65484506836896
2012-11-11,56.947340341498325
2012-11-18,52.451771277123726
2012-11-25,45.505745952329306
2012-12-02,42.22628770018225
2012-12-09,40.851674149516036
2012-12-16,38.02321274297235
2012-12-23,39.62637872990382
2012-12-30,35.24479316818837
2013-01-06,33.050310963894184
2013-01-13,36.114829949155705
2013-01-20,32.61659648922805
2013-01-27,34.56365694712685
2013-02-03,37.913791832936525
2013-02-10,36.199926543331365
2013-02-17,41.261822521555274
2013-02-24,44.14384623182266
2013-03-03,45.364936369666864
2013-03-10,50.070634765482
2013-03-17,53.09888377372631
2013-03-24,55.535342196736124
2013-03-31,65.71896029029988
2013-04-07,68.67321981666042
2013-04-14,76.51609156599308
2013-04-21,69.62349914203894
2013-04-28,71.996346799184
2013-05-05,81.77017252851272
2013-05-12,81.40250819835065
2013-05-19,82.99469798433924
2013-05-26,84.76735098110629
2013-06-02,85.3650408087582
2013-06-09,90.47775060307275
2013-06-16,89.75558655099873
2013-06-23,87.71859739135432
2013-06-30,89.99870928351862
2013-07-07,93.0339135896345
2013-07-14,88.27266680448952
2013-07-21,89.98306125187764
2013-07-28,92.50946753631786
2013-08-04,89.82844498911241
2013-08-11,91.37833378341666
2013-08-18,87.38030365841578
2013-08-25,85.59166595485654
2013-09-01,85.68558191437549
2013-09-08,81.37445783147903
2013-09-15,76.4331680082024
2013-09-22,78.6522856730169
2013-09-29,74.35681414464767
2013-10-06,74.13959834102873
2013-10-13,70.29222028811958
2013-10-20,63.40179590510175
2013-10-27,61.605350581226794
2013-11-03,61.85584363184714
2013-11-10,58.100430422457215
2013-11-17,52.87149318158163
2013-11-24,45.91259883300963
2013-12-01,42.42728291128407
2013-12-08,41.03980434177143
2013-12-15,38.44293157305143
2013-12-22,40.17477454213609
2013-12-29,36.08853537047347
2014-01-05,33.73605692691541
2014-01-12,37.193924963049305
2014-01-19,32.89483657004732
2014-01-26,34.95670227887439
2014-02-02,37.337769261163345
2014-02-09,36.74781707089871
2014-02-16,41.31810122803099
2014-02-23,44.398558731148235
2014-03-02,45.29444691233691
2014-03-09,49.49127760282222
2014-03-16,53.22807249908281
2014-03-23,55.76483348000692
2014-03-30,66.24528215215514
2014-04-06,69.10826441481665
2014-04-13,77.49951494743239
2014-04-20,70.13852051567271
2014-04-27,72.4905932181841
2014-05-04,82.86332118148859
2014-05-11,82.03834181625574
2014-05-18,83.72776459754927
2014-05-25,85.248074181933
2014-06-01,85.22640442971746
2014-06-08,90.9253393432111
2014-06-15,90.23911471045106
2014-06-22,87.87033466482058
2014-06-29,90.54634484759997
2014-07-06,93.52019570435361
2014-07-13,88.69146225065467
2014-07-20,90.58284649506957
2014-07-27,93.06323792051705
2014-08-03,90.29938993858734
2014-08-10,91.8370073555571
2014-08-17,87.8604513609089
2014-08-24,86.15157202462876
2014-08-31,86.15652642106632
2014-09-07,82.01412234382856
2014-09-14,77.04522429660628
2014-09-21,78.98211870688854
2014-09-28,74.8032178426774
2014-10-05,74.66575990834558
2014-10-12,70.70181175571096
2014-10-19,63.67027699830848
2014-10-26,62.0916333244674
2014-11-02,62.40347856078957
2014-11-09,58.42106095850212
2014-11-16,53.366978544731275
2014-11-23,46.41115251981953
2014-11-30,42.974918639523786
2014-12-07,41.59050743878739
2014-12-14,38.938417669216214
2014-12-21,40.63958056219762
2014-12-28,36.482922815495265
2015-01-04,34.16811495266991
2015-01-11,37.53219792628548
2015-01-18,33.42405503016448
2015-01-25,35.4585480591494
2015-02-01,38.070667064354495
2015-02-08,37.21274356450349
2015-02-15,41.9002412887553
2015-02-22,44.93338680363487
2015-03-01,45.90681193519468
2015-03-08,50.224970462755174
2015-03-15,53.792828837477614
2015-03-22,56.305674973192666
2015-03-29,66.71535119957507
2015-04-05,69.60009643297091
2015-04-12,77.86059861787902
2015-04-19,70.61128390541273
2015-04-26,72.96830991953074
2015-05-03,83.19824337670583
2015-05-10,82.48230029631863
2015-05-17,84.14854009922873
2015-05-24,85.72901518459427
2015-05-31,85.85501752359232
2015-06-07,91.41418049832039
2015-06-14,90.71938693503984
2015-06-21,88.42971481890915
2015-06-28,91.01133213140221
2015-07-05,93.99981131145141
2015-07-12,89.1871685065425
2015-07-19,91.03539988356978
2015-07-26,93.52676249712064
2015-08-02,90.78266234108881
2015-08-09,92.32320558662727
2015-08-16,88.34152957795287
2015-08-23,86.61363368768579
2015-08-30,86.63979892913953
2015-09-06,82.45716743494549
2015-09-13,77.49485193572487
2015-09-20,79.49903601026774
2015-09-27,75.29234154390701
2015-10-04,75.13586717432301
2015-10-11,71.199712489262
2015-10-18,64.20182226526894
2015-10-25,62.57124878170868
2015-11-01,62.86846599602617
2015-11-08,58.940172386494304
2015-11-15,53.84439984825186
2015-11-22,46.8878422519135
2015-11-29,43.43990588418626
2015-12-06,42.05476333969346
2015-12-13,39.41583879796614
2015-12-20,41.1243166516651
2015-12-27,36.9844485996319
2016-01-03,34.6606590505376
2016-01-10,38.04710292201745
2016-01-17,33.893433450141764
